user_id,photo_id,created_at
2,1,"2022-12-20 03:31:47"
2,4,"2022-12-20 03:31:47"
2,8,"2022-12-20 03:31:47"
2,9,"2022-12-20 03:31:47"
2,10,"2022-12-20 03:31:47"
2,11,"2022-12-20 03:31:47"
2,12,"2022-12-20 03:31:47"
2,13,"2022-12-20 03:31:47"
2,15,"2022-12-20 03:31:47"
2,23,"2022-12-20 03:31:47"
2,25,"2022-12-20 03:31:47"
2,27,"2022-12-20 03:31:47"
2,30,"2022-12-20 03:31:47"
2,34,"2022-12-20 03:31:47"
2,36,"2022-12-20 03:31:47"
2,39,"2022-12-20 03:31:47"
2,41,"2022-12-20 03:31:47"
2,43,"2022-12-20 03:31:47"
2,45,"2022-12-20 03:31:47"
2,48,"2022-12-20 03:31:47"
2,49,"2022-12-20 03:31:47"
2,50,"2022-12-20 03:31:47"
2,52,"2022-12-20 03:31:47"
2,53,"2022-12-20 03:31:47"
2,58,"2022-12-20 03:31:47"
2,62,"2022-12-20 03:31:47"
2,65,"2022-12-20 03:31:47"
2,69,"2022-12-20 03:31:47"
2,80,"2022-12-20 03:31:47"
2,84,"2022-12-20 03:31:47"
2,86,"2022-12-20 03:31:47"
2,89,"2022-12-20 03:31:47"
2,90,"2022-12-20 03:31:47"
2,91,"2022-12-20 03:31:47"
2,92,"2022-12-20 03:31:47"
2,99,"2022-12-20 03:31:47"
2,101,"2022-12-20 03:31:47"
2,103,"2022-12-20 03:31:47"
2,105,"2022-12-20 03:31:47"
2,107,"2022-12-20 03:31:47"
2,111,"2022-12-20 03:31:47"
2,112,"2022-12-20 03:31:47"
2,115,"2022-12-20 03:31:47"
2,117,"2022-12-20 03:31:47"
2,118,"2022-12-20 03:31:47"
2,119,"2022-12-20 03:31:47"
2,126,"2022-12-20 03:31:47"
2,127,"2022-12-20 03:31:47"
2,128,"2022-12-20 03:31:47"
2,138,"2022-12-20 03:31:47"
2,140,"2022-12-20 03:31:47"
2,142,"2022-12-20 03:31:47"
2,146,"2022-12-20 03:31:47"
2,154,"2022-12-20 03:31:47"
2,158,"2022-12-20 03:31:47"
2,161,"2022-12-20 03:31:47"
2,162,"2022-12-20 03:31:47"
2,165,"2022-12-20 03:31:47"
2,167,"2022-12-20 03:31:47"
2,170,"2022-12-20 03:31:47"
2,171,"2022-12-20 03:31:47"
2,174,"2022-12-20 03:31:47"
2,176,"2022-12-20 03:31:47"
2,178,"2022-12-20 03:31:47"
2,183,"2022-12-20 03:31:47"
